ch	g	offset	gain
32	0	0	0
32	1	-255.76201959	0.01622321
32	2	-264.20948401	0.01615081
32	3	-253.40629204	0.01652547
32	4	-266.30711584	0.01677848
32	5	-259.84584672	0.01699167
32	6	-262.07822891	0.01707248
32	7	-247.63542017	0.01728419
32	8	-263.3849842	0.01721584
32	9	-263.1733692	0.01724285
32	10	-266.98575674	0.01725455
32	11	-266.21364826	0.01729545
32	12	-262.54758944	0.01741571
32	13	-247.29551909	0.01763045
32	14	-260.44341457	0.01761084
32	15	-273.42302014	0.0175526
33	0	0	0
33	1	-195.54400605	0.01666844
33	2	-193.9289042	0.01679159
33	3	-192.2442469	0.01688242
33	4	-189.14978602	0.01679895
33	5	-198.30033789	0.01673844
33	6	-204.8300199	0.01650472
33	7	-203.69473485	0.01631879
33	8	-204.39379513	0.01630738
33	9	-219.7037347	0.01637453
33	10	-238.23726394	0.01612898
33	11	-220.76042297	0.01609818
33	12	-218.25540266	0.01627685
33	13	-220.66065058	0.01662125
33	14	-251.68779798	0.01652496
33	15	-232.40926757	0.01679271
34	0	-238.98255007	0.01716161
34	1	-238.01861653	0.01741463
34	2	-243.59842128	0.0176367
34	3	-250.8240513	0.01776556
34	4	0	0
34	5	-254.68712524	0.01808086
34	6	-257.87426647	0.01815984
34	7	-262.2607793	0.01821555
34	8	-261.08681542	0.01833462
34	9	-254.53374986	0.0185104
34	10	-264.9165173	0.01850607
34	11	-238.26827052	0.01884384
34	12	-256.33256929	0.01867963
34	13	-247.35893456	0.01886742
34	14	-272.91915802	0.0186503
34	15	-222.22324484	0.01918362
35	0	-189.45334589	0.01624823
35	1	-194.06199952	0.01668834
35	2	-221.83462304	0.01690612
35	3	-227.1181763	0.01698528
35	4	0	0
35	5	-230.78820485	0.01759542
35	6	-254.25762097	0.01771525
35	7	-243.17133056	0.01784893
35	8	-232.18704828	0.0182067
35	9	-243.03616426	0.01814901
35	10	-241.40830324	0.01819435
35	11	-233.24362903	0.01849875
35	12	-244.2653398	0.0185863
35	13	-242.74152155	0.01875861
35	14	-218.5372943	0.01904728
35	15	-245.64280767	0.01879014
36	0	-224.6093881	0.01736762
36	1	-233.74860793	0.01755533
36	2	-225.09698269	0.01780428
36	3	-239.70731699	0.01798647
36	4	-228.96452526	0.01826655
36	5	-241.56228518	0.01827279
36	6	-236.70208401	0.01851553
36	7	-234.16992476	0.0186557
36	8	-238.25294778	0.01870575
36	9	-227.49402983	0.01893779
36	10	-249.93555351	0.01882474
36	11	-246.56685975	0.01894917
36	12	-215.06476408	0.01938607
36	13	-253.43056089	0.01902544
36	14	-255.79196268	0.01912595
36	15	-260.29913879	0.01908331
37	0	-225.88350837	0.01727102
37	1	-236.10130772	0.01746175
37	2	-240.08115169	0.01771215
37	3	-233.28716365	0.01798151
37	4	-225.57971723	0.01822922
37	5	-243.64674886	0.0182452
37	6	-237.87695394	0.01846493
37	7	-240.03036145	0.01858115
37	8	-234.82428617	0.01873194
37	9	-230.38279159	0.01887597
37	10	-213.13734314	0.01919332
37	11	-227.65197636	0.01914841
37	12	-236.79626947	0.01920055
37	13	-222.85616806	0.01948008
37	14	-220.57223192	0.01960343
37	15	-232.54344268	0.01965307
38	0	-236.2358143	0.01735076
38	1	-238.63169186	0.01767358
38	2	-242.05671164	0.01781805
38	3	-240.05629426	0.01790566
38	4	-251.25038843	0.01812031
38	5	-243.82961241	0.01840171
38	6	-251.63373363	0.01849147
38	7	-260.51403737	0.01842713
38	8	-254.04506949	0.01855234
38	9	-249.02887617	0.01864797
38	10	-237.24041267	0.01877149
38	11	-242.88203135	0.01871356
38	12	-237.73312485	0.01877842
38	13	-255.19700085	0.01859873
38	14	-228.13008649	0.01888315
38	15	-230.46990961	0.01895871
39	0	-176.68574928	0.02229167
39	1	-172.00627651	0.02268062
39	2	-183.5155721	0.02269793
39	3	-182.98921405	0.0229174
39	4	-177.26137116	0.02322995
39	5	-175.7953434	0.02340811
39	6	-186.2841	0.02337191
39	7	-181.08182054	0.0235534
39	8	-162.13905135	0.0239748
39	9	-176.55237039	0.02373867
39	10	-180.04618611	0.02366387
39	11	-159.58442979	0.02399802
39	12	-166.96665543	0.02396043
39	13	-187.35864112	0.0236302
39	14	-195.41593049	0.02358955
39	15	-230.45726172	0.02286643
40	0	-191.22108409	0.0165499
40	1	-204.46297005	0.01659938
40	2	-198.92599414	0.01678176
40	3	-198.38164295	0.01693635
40	4	-202.65127321	0.01697601
40	5	-204.38192489	0.01709735
40	6	-214.17739205	0.01721731
40	7	-217.30157707	0.01733144
40	8	-186.16803967	0.01776237
40	9	-198.36401191	0.01786642
40	10	-194.82865554	0.018064
40	11	-219.78189784	0.01808294
40	12	-291.4863447	0.01771262
40	13	-219.65991297	0.018457
40	14	-236.03030206	0.01850552
40	15	-222.88890055	0.01892146
41	0	-233.59064186	0.0150581
41	1	-226.0421953	0.01533187
41	2	-232.00278435	0.01548495
41	3	-216.66202638	0.01576575
41	4	-230.9271355	0.01580535
41	5	-223.81761993	0.01592844
41	6	-214.78713481	0.01607354
41	7	-217.9712714	0.01629525
41	8	-219.70764045	0.01652867
41	9	-223.40176664	0.01669821
41	10	-240.77776028	0.01672561
41	11	-219.3702248	0.01710509
41	12	-225.54435413	0.01731766
41	13	-245.42194304	0.01725002
41	14	-220.69426405	0.01772433
41	15	-236.48735746	0.01779332
42	0	-190.89114626	0.01670383
42	1	-193.62949206	0.0169044
42	2	-195.80223958	0.01706436
42	3	-196.7202259	0.01719644
42	4	-199.23193148	0.01736587
42	5	-205.49218715	0.01745976
42	6	-204.9864364	0.01759931
42	7	-226.68436683	0.01749835
42	8	-211.95467489	0.0178179
42	9	-199.5815997	0.01801876
42	10	-205.95576223	0.01802327
42	11	-203.06414661	0.01813202
42	12	-205.62143394	0.01820371
42	13	-223.34748212	0.01806445
42	14	-186.93687511	0.01854637
42	15	-198.95270165	0.01849065
43	0	-209.08706678	0.01963656
43	1	-205.62883204	0.01992644
43	2	-200.33975929	0.02017512
43	3	-212.90250106	0.02013962
43	4	-211.83572605	0.02031949
43	5	-204.39419354	0.02052586
43	6	-204.98255248	0.02059044
43	7	-203.8277285	0.0206764
43	8	-203.36743522	0.02074037
43	9	-212.98330489	0.02061606
43	10	-199.32118405	0.0207805
43	11	-208.1064781	0.02069677
43	12	-197.69897342	0.02076681
43	13	-184.86442409	0.02090303
43	14	-219.84091889	0.02049912
43	15	-195.14717334	0.02068526
44	0	-230.91138715	0.01674213
44	1	-244.15566406	0.0168871
44	2	-243.39999052	0.01706553
44	3	-239.99525634	0.01725343
44	4	-241.61302268	0.01742563
44	5	-242.85548769	0.01756045
44	6	-245.31421563	0.01768259
44	7	-245.24245306	0.01776541
44	8	-248.70883788	0.01786752
44	9	-229.22951502	0.01811116
44	10	-240.22875556	0.01810568
44	11	-249.97546572	0.01812152
44	12	-245.87240147	0.01819755
44	13	-228.94704616	0.01843697
44	14	-252.47953229	0.01817294
44	15	-198.08768177	0.01886108
45	0	-186.2381207	0.01595043
45	1	-204.99741034	0.01616807
45	2	-214.31129819	0.01629619
45	3	-201.1994467	0.01653473
45	4	-206.25518451	0.01664829
45	5	-216.78208775	0.01663709
45	6	-213.94269263	0.01673951
45	7	-209.29109569	0.01694091
45	8	-208.96215214	0.01715934
45	9	-228.19589462	0.01712234
45	10	-214.49166926	0.01731139
45	11	-201.66512258	0.01743447
45	12	-230.51870682	0.01727151
45	13	-207.54590423	0.01757181
45	14	-235.52450782	0.01744366
45	15	-179.81896149	0.01803379
46	0	-227.48367409	0.01753282
46	1	-235.76749464	0.01771204
46	2	-224.15939044	0.01797818
46	3	-233.02124159	0.01806472
46	4	-231.80515453	0.01823478
46	5	-239.03420669	0.01830561
46	6	-228.51847124	0.01854343
46	7	-244.24746744	0.01848805
46	8	-245.44225156	0.01858931
46	9	-242.88720127	0.01864393
46	10	-244.82049598	0.01861722
46	11	-228.66094855	0.01879744
46	12	-236.37590957	0.01874291
46	13	-241.4269481	0.01867897
46	14	-246.5740553	0.01861913
46	15	0	0
47	0	-177.03048907	0.01615813
47	1	-191.17636242	0.01619771
47	2	-194.23527141	0.01613078
47	3	-193.87525816	0.01616212
47	4	-199.52882352	0.01620141
47	5	-196.4492417	0.01639469
47	6	-197.48957538	0.01651632
47	7	-207.15427844	0.01645959
47	8	-205.54819136	0.0163377
47	9	-197.29543933	0.01645204
47	10	-209.94140699	0.01630737
47	11	-213.82004724	0.01630875
47	12	-190.99492659	0.016472
47	13	-197.96853311	0.01632046
47	14	-199.47117562	0.01654304
47	15	0	0

