ch	ring	ped	gain
32	0	0.037164072	0.020466511
32	1	0.037164072	0.020466511
32	2	0.037287373	0.020534413
32	3	0.038271294	0.021076265
32	4	0.039356575	0.021673937
32	5	0.039864138	0.021953455
32	6	0.040047249	0.022054296
32	7	0.040619319	0.022369338
32	8	0.040997672	0.0225777
32	9	0.041186046	0.022681439
32	10	0.040993193	0.022575234
32	11	0.041183604	0.022680094
32	12	0.041835548	0.023039124
32	13	0.042057488	0.023161348
32	14	0.042623182	0.02347288
32	15	0.042497145	0.02340347
33	0	0.042497145	0.02340347
33	1	0.035569475	0.019588355
33	2	0.035945018	0.019795169
33	3	0.036181423	0.019925359
33	4	0.03583932	0.01973696
33	5	0.036131689	0.01989797
33	6	0.035742577	0.019683683
33	7	0.035199846	0.019384798
33	8	0.035101474	0.019330623
33	9	0.036419521	0.020056481
33	10	0.036220776	0.019947031
33	11	0.03513817	0.019350832
33	12	0.036014035	0.019833177
33	13	0.037340762	0.020563815
33	14	0.037802138	0.020817898
33	15	0.037995732	0.020924511
34	0	0.039386252	0.02169028
34	1	0.04007947	0.02207204
34	2	0.04087599	0.022510689
34	3	0.041511883	0.02286088
34	4	0.041511883	0.02286088
34	5	0.042636504	0.023480217
34	6	0.042995766	0.023678065
34	7	0.043659802	0.024043754
34	8	0.04385457	0.024151014
34	9	0.044229643	0.024357569
34	10	0.044354784	0.024426485
34	11	0.044487343	0.024499486
34	12	0.044961573	0.024760648
34	13	0.045354454	0.02497701
34	14	0.045348445	0.024973701
34	15	0.045408556	0.025006804
35	0	0.034419746	0.018955191
35	1	0.035998804	0.019824789
35	2	0.037462377	0.020630789
35	3	0.037653137	0.020735842
35	4	0.037653137	0.020735842
35	5	0.03996316	0.022007987
35	6	0.041279483	0.022732895
35	7	0.041229807	0.022705539
35	8	0.04192605	0.023088964
35	9	0.042266277	0.02327633
35	10	0.04263754	0.023480787
35	11	0.042875145	0.023611638
35	12	0.043799033	0.024120429
35	13	0.044264186	0.024376592
35	14	0.044100031	0.024286191
35	15	0.044694657	0.024613655
36	0	0.039434012	0.021716582
36	1	0.040411027	0.022254631
36	2	0.0409806	0.022568299
36	3	0.04186827	0.023057145
36	4	0.042534051	0.023423795
36	5	0.042750654	0.023543079
36	6	0.043439271	0.023922306
36	7	0.043932757	0.024194072
36	8	0.044130284	0.024302851
36	9	0.044860712	0.024705103
36	10	0.045055101	0.024812155
36	11	0.045290975	0.024942052
36	12	0.045583377	0.02510308
36	13	0.045819213	0.025232956
36	14	0.046325153	0.025511581
36	15	0.046114163	0.025395387
37	0	0.039290502	0.02163755
37	1	0.040234603	0.022157473
37	2	0.041010861	0.022584964
37	3	0.041788953	0.023013464
37	4	0.042253055	0.023269049
37	5	0.043017338	0.023689944
37	6	0.043443402	0.023924581
37	7	0.043632046	0.024028468
37	8	0.043826534	0.024135574
37	9	0.044578116	0.024549475
