ch	offset	gain
64	23.756739	0.03076147
65	20.086795	0.03098230
66	22.497754	0.03049870
67	20.670707	0.03050969
68	22.560357	0.03091041
69	21.187147	0.03044296
70	22.675635	0.03043496
71	19.39644	0.03010645
72	23.075502	0.03049214
73	20.401317	0.03048811
74	22.786696	0.02996420
75	19.899723	0.03024611
76	22.831757	0.02996900
77	19.586604	0.03071829
78	23.052631	0.02987610
79	19.328918	0.03103922
80	21.490508	0.03132334
81	21.479671	0.03055870
82	21.987741	0.03078181
83	21.131314	0.03059727
84	21.189801	0.03090188
85	21.831391	0.03058173
86	21.631917	0.03099905
87	21.190454	0.03082267

