ch	offset	gain
96	24.0002	0.0298265
97	21.3011	0.0302395
98	23.684	0.0306970
99	20.8695	0.0302072
100	23.8508	0.0306993
101	22.0112	0.0303505
102	21.6264	0.0303350
103	21.0088	0.0298003
104	24.281	0.0301798
105	21.898	0.0300274
106	23.4867	0.0310447
107	23.0753	0.0305299
108	23.9019	0.0308962
109	22.4091	0.0306114
110	23.1427	0.0309222
111	21.5478	0.0307084
112	21.6765	0.0312636
113	19.8221	0.0302959
114	22.3571	0.0302273
115	21.1743	0.0306969
116	23.1478	0.0303988
117	21.0325	0.0302098
118	22.4297	0.0304608
119	21.3654	0.0304007
120	23.7689	0.0302470
121	23.2219	0.0305398
122	24.2719	0.0300192
123	22.3221	0.0304212
124	23.3314	0.0297662
125	23.3703	0.0299729
126	23.8304	0.0302134
127	23.0858	0.0299206

