ch  offset  gain
320  20.9288  0.00244662
321  20.7541  0.00247024
322  21.3831  0.00237516
323  20.7693  0.00265045
324  20.2262  0.00275424
325  19.631  0.00243013
326  20.5056  0.00275631
327  19.7954  0.00248534
328  23.3303  0.00266636
329  22.3952  0.00249499
330  23.1467  0.00271603
331  22.4535  0.00261577
332  23.2525  0.0024796
333  23.7125  0.00254068
334  23.2111  0.00257471
335  21.547  0.00258647
336  22.0201  0.00246782
337  19.4725  0.00257133
338  22.7137  0.00248728
339  19.3396  0.00260063
340  22.3911  0.00241747
341  19.0343  0.00247805
342  22.6873  0.00262885
343  18.9343  0.00249518
