ch  offset  gain
352  18.3471  0.00248909
353  19.0247  0.00238636
354  19.2794  0.00242466
355  20.0621  0.00238343
356  19.3253  0.00246857
357  20.4929  0.00255586
358  19.5714  0.00247745
359  19.2319  0.00257821
360  19.5785  0.00235787
361  21.2124  0.00255484
362  20.434  0.00251507
363  22.4501  0.00255567
364  19.9742  0.00267951
365  21.3624  0.00228864
366  19.1627  0.00237646
367  21.7006  0.0025301
368  23.2071  0.00232928
369  21.5085  0.00233153
370  22.89  0.0023746
371  21.4163  0.00235224
372  22.3367  0.00244845
373  21.9001  0.00233825
374  22.8198  0.0024008
375  21.3441  0.00239697
376  18.8317  0.00243086
377  21.4276  0.0023848
378  18.7898  0.00237214
379  21.1757  0.0024368
380  18.2736  -0.000333333
381  0  -0.000333333
382  0  -0.000333333
383  0  -0.000333333
