ch  offset  gain
192  0  0
193  19.7232  0.00446834
194  16.4695  0.0040372
195  18.6562  0.00430981
196  17.3431  0.00387015
197  20.2232  0.00409006
198  17.1774  0.00412152
199  19.8203  0.00434672
200  20.0909  0.00436465
201  21.588  0.00427595
202  19.5  0.00422002
203  22.3481  0.00440562
204  18.835  0.00463027
205  21.5574  0.00421898
206  18.7346  0.00431831
207  20.447  0.00437232
208  16.5982  0.00387547
209  22.6618  0.00386081
210  15.8997  0.00390359
211  23.0797  0.00389912
212  15.2721  -0.000333333
213  26.7862  0.00410205
214  15.3819  0.00396908
215  22.3133  0.00417842
216  20.3634  0.00406094
217  18.8659  0.00418265
218  21.7868  0.00425047
219  18.763  0.00426339
220  20.1239  0.00436309
221  16.782  0.00413848
222  20.0069  0.00402063
223  17.633  0.00394157
224  18.7923  0.00386526
225  20.2065  0.00397996
226  19.49  0.00385212
227  19.9013  0.00391576
228  18.8386  0.00380595
229  19.5357  0.00404475
230  18.8012  0.00394666
231  20.2254  0.00416258
232  21.5435  0.00416007
233  21.795  0.00407342
234  22.1184  0.00425093
235  20.757  0.0041949
236  22.2732  0.00414497
237  20.943  0.00411543
238  21.6023  0.00400017
239  19.5142  0.00391903
240  20.8867  0.00389251
241  19.0576  0.00388449
242  20.838  0.00390494
243  20.1251  0.00380655
244  21.3767  0.0040712
245  20.3941  0.00397022
246  21.3752  0.00404747
247  19.9408  -0.000333333
248  24.8821  0.0040394
249  20.3462  0.0040236
250  25.2841  0.00401017
251  20.1933  0.00420226
252  24.6886  0.00414064
253  20.5062  0.00413342
254  25.1102  0.00403093
255  20.5292  0.00387604
256  21.2132  0.00385695
257  20.6969  0.0038986
258  21.26  0.00381091
259  21.462  0.00392271
260  21.3676  0.00392503
261  22.0965  0.00389416
262  21.4322  0.00401428
263  21.7029  0.00406065
264  23.6337  0.00402021
265  21.3141  0.00411818
266  23.368  0.00405965
267  20.1874  0.00408214
268  24.0771  0.00415924
269  21.0499  0.00404463
270  22.306  0.00395403
271  19.8488  0.00376142
272  23.7862  0.00377752
273  21.2621  0.00387521
274  24.3908  0.00391152
275  20.9393  0.00385753
276  23.8028  0.00387145
277  21.1277  0.00401369
278  24.1295  0.00400847
279  21.7739  0.00390302
280  21.4403  0.00406463
281  19.9405  0.00390192
282  21.8992  0.00408266
283  21.995  0.00419142
284  22.2755  0.00418761
285  20.4288  0.00404681
286  21.9788  0.00398207
287  20.747  0.0038245
288  20.1489  0.00384302
289  20.7286  0.00391242
290  21.6867  0.00388608
291  21.1757  0.00404277
292  20.7922  0.00392878
293  21.4084  0.00396458
294  21.6919  0.00394213
295  21.4442  0.0040049
296  21.2605  0.0041272
297  19.7804  0.00397312
298  22.5168  0.00410658
299  20.2481  0.00409521
300  22.3223  0.00420343
301  21.021  0.00413939
302  20.602  0.00410748
303  21.3683  0.00379198
304  19.4179  0.00379085
305  20.3615  0.00380549
306  19.3051  0.00387449
307  19.7747  0.00390977
308  19.2837  0.00392033
309  19.8145  0.0038806
310  19.3037  0.00393203
311  19.5125  0.00399275
312  19.6693  0.00390521
313  21.6419  0.00407002
314  20.2367  0.00397063
315  22.9536  0.00415076
316  20.9571  0.0041887
317  21.9603  0.00407765
318  20.8203  0.00403547
319  20.8616  -0.000333333
