ch  offset  gain
384  20.9288  0.0038318
385  20.7541  0.00365609
386  21.3831  0.00360108
387  20.7693  0.00376522
388  20.2262  0.00418383
389  19.631  0.00400471
390  20.5056  0.00371006
391  19.7954  0.00405645
392  23.3303  0.00389324
393  22.3952  0.00382089
394  23.1467  0.00374849
395  22.4535  0.00363695
396  23.2525  0.00402264
397  23.7125  0.00363674
398  23.2111  0.00391922
399  0  0
400  22.0201  0.0040654
401  19.4725  0.00389894
402  22.7137  0.00397369
403  19.3396  0.00372603
404  22.3911  0.00411079
405  19.0343  0.00396263
406  22.6873  0.00372517
407  18.9343  0.0038464
408  21.7741  0.00401543
409  22.5538  0.00393213
410  22.3279  0.00434703
411  22.1383  0.00378394
412  22.7715  0.00383629
413  23.2157  0.00381595
414  0  0
415  22.989  0.00358245
416  21.5012  0.00392068
417  22.6125  0.00391897
418  20.6727  0.0036114
419  22.784  0.00377652
420  20.8945  0.00374922
421  23.0779  0.00364868
422  21.4264  0.00384008
423  22.584  0.00388789
424  22.9578  0.00407349
425  21.78  0.00363449
426  22.5452  0.00387939
427  21.9375  0.00416662
428  22.1997  0.0040243
429  20.2369  0.00404097
430  21.5662  0.00384807
431  21.1742  0.00410039
432  20.5629  0.00405246
433  21.0737  0.00382595
434  21.6567  0.00382612
435  20.7807  0.00369376
436  21.2916  0.00405148
437  21.8361  0.00366683
438  21.8831  0.00387227
439  20.8982  0.00393967
440  22.9788  0.00383739
441  20.8915  0.00416167
442  23.06  0.00385831
443  20.2275  0.0041628
444  23.3764  0.00391219
445  20.277  0.00365883
446  23.5091  0.00389605
447  20.8459  0.0037058
448  19.784  0.00369999
449  18.6695  0.00393374
450  21.0914  0.0040736
451  18.5555  0.00
452  21.2383  0.00369986
453  18.7315  0.00384991
454  21.3094  0.00387218
455  19.0208  0.00377245
456  24.9658  0.00420651
457  19.5024  0.00369125
458  24.1174  0.00422267
459  19.6286  0.00367157
460  23.5013  0.00424181
461  18.7078  0.00374457
462  24.275  0.00364176
463  18.0345  0.00383419
464  0  0
465  21.255  0
466  0  0
467  22.3946  0.0
468  24.8158  0.0
469  23.3001  0.00
470  22.7691  0.0
471  21.8899  0.0
472  25.477  0.00
473  25.0686  0.0
474  25.3729  0.0
475  25.0707  0.0
476  0  0
477  24.3702  0
478  0  0
479  24.6411  0
480  0  0
481  23.5462  0.00415763
482  22.4401  0.00395432
483  23.6412  0.00389372
484  22.6609  0.00377341
485  24.0763  0.00401553
486  21.9412  0.0038659
487  23.5839  0.00414262
488  22.075  0.004011
489  22.038  0.00389879
490  22.0226  0.0039294
491  22.0488  0.00387312
492  21.662  0.00390795
493  21.5027  0.00404145
494  21.3827  0.00384404
495  21.3117  0.00348092
496  21.8484  0.00379494
497  20.9686  0.00381616
498  21.364  0.00387226
499  21.1251  0.00403593
500  21.4298  0.00401733
501  21.465  0.00411814
502  21.8325  0.00400951
503  21.2761  0.00400647
504  21.5315  0.00395651
505  20.3521  0.00402656
506  21.1063  0.00397953
507  19.7936  0.00391211
508  21.2454  0.00423856
509  20.2467  0.0039178
510  21.2299  0.00394408
511  0  0.00379195
